id	family	source_games	portable_mechanic	arc3_research_use	guardrail	evidence_url
f001	temporal-cooperation	Cursor*10; Chronotron	Previous input streams become concurrent actors that the live player must coordinate with.	Test planning against deterministic traces of prior agency.	Do not reuse tower climbing, avatars, or literal time machines.	http://nekogames.jp/g2.html?gid=CURSOR10 https://kongregate.com/games/Scarybug/chronotron
f002	mutable-rules	This Is The Only Level	Hold geometry constant while changing one operative rule per stage.	Isolate whether an agent detects a change point rather than extending an obsolete model.	Use a coherent learnable rule family, not joke controls or trivia.	https://armorgames.com/play/4309/this-is-the-only-level
f003	objective-discovery	Achievement Unlocked	The action space stays simple while many latent micro-objectives must be discovered from feedback.	Separate discovering what counts from executing a known goal.	Avoid text achievement lists, cultural references, and arbitrary secret gestures.	https://armorgames.com/play/2893/achievement-unlocked
f004	unreliable-guidance	Depict1	An apparent guidance channel is contradicted by repeatable environmental evidence.	Measure willingness to reject a salient but falsified hypothesis.	The world must provide sufficient nonverbal counterevidence; never require English.	http://bored.com/game/play/150904/Depict1.html
f005	reversed-objective	Don't Escape; Karoshi	Invert a familiar terminal objective so preparation or apparent failure becomes success.	Test goal inference independently of learned genre priors.	Teach the inversion through consequences, not shock content or narrative text.	https://www.newgrounds.com/portal/view/619697 http://www.karoshigame.com/karoshi-flash.php
f006	concurrent-control	Multitask	Several simple processes share attention and controls at the same time.	Measure resource allocation across interacting state machines.	Convert reflex pressure into deterministic turn interleaving for API fairness.	https://www.newgrounds.com/portal/view/506546
f007	rapid-affordance-shift	Four Second Fury; Hoshi Saga	A compact scene presents a fresh verb-object relation and demands fast discovery.	Create a library of composable affordance probes before a synthesis level.	Remove real-time deadlines and preserve visual causal feedback.	https://www.newgrounds.com/portal/view/309403 http://hoshisaga.jp/hoshi1/
f008	world-interface-coupling	Upgrade Complete	Progress changes presentation or control infrastructure, not only the avatar's power.	Make the interface itself a learnable, manipulable component of the environment.	Avoid currency grind and cosmetic-only upgrades.	https://www.newgrounds.com/portal/view/499812
f009	obedience-state	Loved	Compliance with an external signal changes the world's later presentation and constraints.	Test causal attribution between policy choice and environment regime.	Use abstract signals and symmetric evidence; do not reproduce narrator prose.	https://www.newgrounds.com/portal/view/539211
f010	figure-ground-inversion	SHIFT	Swap positive and negative space so the same boundary changes role.	Test persistent topology under a reversible interpretation transform.	Avoid silhouette copying and platforming dexterity.	https://armorgames.com/play/751/shift
