id	internal_title	primary_axis	secondary_axis	interaction_model	concept	differentiator	anticipated_ai_failure	lineage
a001	Dead Bulb Atlas	diagnostic-fault-localization	causal-structure	probe-then-repair	A wall of identical lamps is driven by a hidden branching circuit. The player may inject colored test pulses at three junctions, observe which downstream lamps fail, then replace exactly one concealed component.	Diagnosis requires choosing discriminating test locations; it is not a switch-per-lamp wiring puzzle.	confuses-symptom-location-with-fault-location	gpt-seeded-anthropic-build
a002	Crosstalk Cart	diagnostic-fault-localization	signal-isolation	continuous-operation	Two rail carts respond correctly alone but interfere when commands overlap. By scheduling short calibration motions, the player identifies the single shared control line and inserts an isolator before transporting fragile cargo.	The defect appears only under simultaneous activation, separating interaction faults from broken parts.	fails-to-test-component-interactions	gpt-seeded-anthropic-build
a003	False Floor Clinic	diagnostic-fault-localization	spatial-inference	active-probing	A tiled floor contains one cracked support whose load propagates through visible beams. Limited weighted probes reveal deformation patterns; the player must reinforce the actual crack rather than the tile that bends most.	Observations are spatial fields generated by one latent defect, not binary hidden hazards.	repairs-largest-visible-effect	gpt-seeded-anthropic-build
a004	Stuck Gear Census	diagnostic-fault-localization	mechanical-transmission	observe-and-intervene	A clockwork wall has several meshed branches and one jammed axle. Turning chosen input wheels reveals partial motion and backlash; removing the wrong axle disconnects a required branch permanently.	Backlash makes local nonmovement ambiguous until multiple inputs are compared.	declares-fault-from-single-probe	gpt-seeded-anthropic-build
a005	Leaking Loop	diagnostic-fault-localization	flow-networks	instrument-placement	A closed pipe loop slowly loses colored fluid at one seam. The player places two movable gauges, cycles valves, and triangulates the leak from pressure drops before spending one patch.	The leak is inferred from conservation residuals under changed valve configurations.	ignores-global-residual-evidence	gpt-seeded-anthropic-build
a006	One-Sided Hinge	diagnostic-fault-localization	directional-mechanics	marble-testing	A branching kinetic sculpture carries test marbles through hinged petals, but one hinge catches only when approached from one direction. The player launches marbles from several leaves and replaces the directional fault.	A direction-specific mechanical fault defeats one-way testing and simple earliest-failure heuristics.	assumes-components-are-direction-symmetric	gpt-seeded-anthropic-build
a007	Phantom Load	diagnostic-fault-localization	latent-coupling	load-testing	Platforms sag as if an invisible weight were attached to one of several linked beams. Moving a standard weight among sockets changes the sag pattern, allowing the hidden attachment point to be inferred and detached.	The diagnostic object is known; only its interaction with the latent load reveals structure.	adds-effects-without-modeling-coupling	gpt-seeded-anthropic-build
a008	Cascade Autopsy	diagnostic-fault-localization	event-order	replay-and-mark	A machine fails after a rapid chain of ten visible events. The player can replay it and freeze one event per run, discovering which early deviation causes later alarms before replacing a single module.	The first alarm is downstream of the causal deviation, so temporal proximity is misleading.	blames-first-observed-alarm	gpt-seeded-anthropic-build
a009	Patch Cable	repair-and-maintenance-planning	network-redundancy	live-repair	A powered network must keep two sinks alive while the player reroutes one broken edge using a short cable. Disconnecting a live articulation point causes irreversible shutdown, so a temporary bypass must precede removal.	Repair order matters because service continuity is part of the goal.	repairs-correct-edge-in-unsafe-order	gpt-seeded-anthropic-build
a010	Spare Path	repair-and-maintenance-planning	resource-allocation	degradation-management	Three machines lose one tile of track after each cycle. A tiny stock of universal track can be moved only while a machine is stopped; the player schedules preventive relocation so all machines finish their quotas.	Resources are reusable but unavailable during operation, creating maintenance scheduling rather than permanent construction.	uses-spares-reactively-after-failure	gpt-seeded-anthropic-build
